Name	Type	Description	Script Name	AKA	Usage	Uses INFA MX ?	PMREP_Connect ?
showcertinfo	SEC		/home/infa_adm/scripts/showcertinfo.sh 	n/a			N
showcp	SHELL		/home/infa_adm/scripts/show_conn_perms.sh	lcp		Y	N
showct	SHELL	Check script - show_crontab.sh	/home/infa_adm/scripts/show_crontab.sh	sct		N	N
showfp	SHELL	Check script - show_folder_perms.sh 	/home/infa_adm/scripts/show_folder_perms.sh 	lfp		Y	N
showrj	SHELL	Show active INFA jobs	/home/infa_adm/scripts/show_running_jobs.sh	lrj		N	N
showso	SHELL	Check script - rass.sh 	/home/infa_adm/scripts/rass.sh 	lso		Y	N
showto	SHELL	Check script - rats.sh 	/home/infa_adm/scripts/rats.sh 	lst		Y	N
showvh	INFA	Check script - show_version_history.sh	/home/infa_adm/scripts/show_version_history.sh	n/a			N
ssh_broadcast	SHELL	Check script - ssh_broadcast.sh	/home/infa_adm/scripts/ssh_broadcast.sh	n/a		N	N
tall	CMD	Touch all files in the current folder	n/a	n/a		N	N
testconn	SHELL	Check script - testconn.sh	/home/infa_adm/scripts/testconn.sh	n/a		N	N
tnsfind	CMD	Check for a pattern in the TNS file; Parameter = pattern	n/a	n/a		N	N
tnshostlist	CMD	List the hosts from the TNS file	n/a	n/a		N	N
tnsnc	CMD	Check FW connectivity for all hosts in the TNS file @ the port used	n/a	n/a		N	N
ucutf	PMREP	Update connection's codepage to UTF-8. Parameter = connection name	n/a	n/a			Y
x	CMD	exit current putty session	n/a	n/a		N	N
yoda	CMD	Display the contents of file yoda.log 	n/a	n/a		N	N

